TimeStep,Iteration,Time,T_Node_0,T_Node_1,T_Node_2,T_Node_3,T_Node_4,T_Node_5,T_Node_6,T_Node_7,T_Node_8,T_Node_9,T_Node_10,T_Node_11,T_Node_12,T_Node_13,T_Node_14,T_Node_15,T_Node_16,T_Node_17,T_Node_18,T_Node_19
7362,0,385.55845714285715,324.93334573983515,324.8004219605115,324.6687013644157,324.5389957654395,324.4121053273113,324.28881359212335,324.16988259229976,324.0560480778513,323.948014890493,323.846452515688,323.7519908428997,323.66521616330834,323.5866674329393,323.51683282760456,323.45614661424355,323.4049863612061,323.3636705077439,323.3324563104975,323.31153818209964,323.3010464341918
7363,0,385.61082857142856,324.93339699230745,324.80057544223143,324.6689561710782,324.53935036849407,324.41255758219654,324.28936075035693,324.17052131737955,324.0567744648952,323.9488244895208,323.84734035842075,323.75295147292803,323.6662436694521,323.5877554856006,323.51797471788836,323.4573352956011,323.4062144933336,323.36493050245133,323.33374037924546,323.31283838488844,323.30235472947413
7364,0,385.66319999999996,324.9334482054593,324.80072880617035,324.66921078216103,324.5397046993108,324.41300948979995,324.28990748834474,324.1711595517837,324.0575002938077,323.9496334663586,323.8482275187054,323.7539113644307,323.66727038552824,323.58884270151503,323.5191157299059,323.4585230625977,323.4074416806607,323.36618952776917,323.3350234600225,323.31413758725193,323.30366201808397
7365,0,385.7155714285714,324.93349937932066,324.80088205241833,324.6694651978136,324.54005875809776,324.41346105038735,324.2904538064084,324.1717972958878,324.0582255650163,323.95044182148337,323.84911399706516,323.7548705179739,323.6682963121428,323.5899290813246,323.5202558643313,323.45970991593526,323.40866792391296,323.36744758444195,323.3363055535875,323.31543578995877,323.30496830079466
7366,0,385.7679428571428,324.93355051392155,324.80103518106534,324.66971941818537,324.54041254506313,324.4139122642242,324.2909997048693,324.17243455006735,324.0589502789483,323.95124955537153,323.84999979402284,323.7558289341239,323.6693214499014,323.59101462567105,323.5213951218383,323.46089585631535,323.40989322381535,323.36870467321364,323.3375866606988,323.3167329937768,323.3062735783791
7367,0,385.8203142857143,324.93360160929194,324.80118819220115,324.66997344342553,324.5407660604147,324.4143631315758,324.29154518404874,324.1730713146975,324.0596744360306,323.95205666849915,323.85088491010083,323.756786613446,323.6703457994093,323.5920993351955,323.52253350309985,323.46208088443893,323.4111175810923,323.3699607948277,323.33886678211405,323.31802919947336,323.3075778516093
7368,0,385.8726857142857,324.9336526654618,324.80134108591557,324.6702272736834,324.5411193043602,324.4148136527072,324.2920902442675,324.1737075901532,324.0603980366898,323.95286316134195,323.85176934582114,323.75774355650543,323.6713693612711,323.59318321053854,323.52367100878865,323.46326500100633,323.4123409964677,323.3712159500269,323.34014591859045,323.3193244078153,323.308881121257
7369,0,385.9250571428571,324.9337036824611,324.80149386229834,324.67048090910794,324.5414722771073,324.41526382788334,324.2926348858464,324.1743433768089,324.0611210813521,323.95366903437537,323.8526531017053,323.75869976386673,323.6723921360913,323.5942662523404,323.5248076395768,323.4644482067175,323.4135634706648,323.3724701395535,323.34142407088467,323.3206186195688,323.31018338809315
7370,0,385.97742857142856,324.9337546603198,324.8016465214391,324.67073434984815,324.54182497886325,324.41571365736894,324.2931791091058,324.17497867503903,324.06184357044344,323.9544742880744,323.85353617827457,323.7596552360942,323.6734141244735,323.59534846124063,323.525943396136,323.46563050227184,323.41478500440644,323.3737233641492,323.3427012397526,323.32191183549946,323.31148465288817
7371,0,386.02979999999997,324.9338055990677,324.8017990634275,324.6709875960528,324.5421774098354,324.41616314142846,324.2937229143659,324.1756134852176,324.06256550438945,323.95527892291364,323.85441857604974,323.7606099737517,323.6744353270211,323.5964298378785,323.52707827913713,323.46681188836806,323.4160055984148,323.3749756245552,323.34397742594984,323.3232040563723,323.3127849164119
7372,0,386.0821714285714,324.9338564987346,324.801951488353,324.6712406478706,324.54252957023084,324.4166122803262,324.2942663019468,324.17624780771814,324.06328688361543,323.9560829393674,323.8553002955513,323.7615639774025,323.67545574433694,323.59751038289266,323.5282122892508,323.4679923657045,323.41722525341163,323.376226921512,323.34525263023113,323.32449528295166,323.3140841794335
7373,0,386.13454285714283,324.93390735935054,324.80210379630506,324.6714935054502,324.54288146025647,324.41706107432634,324.294809272168,324.1768816429144,324.06400770854634,323.95688633790957,323.8561813372992,323.76251724760954,323.6764753770235,323.5985900969213,323.52934542714706,323.4691719349789,323.418443970118,323.37747725575963,323.34652685335067,323.3257855160015,323.31538244272167
7374,0,386.18691428571424,324.9339581809453,324.80225598737314,324.6717461689401,324.5432330801191,324.41750952369273,324.29535182534914,324.1775149911794,324.0647279796068,323.95768911901376,323.857061701813,323.76346978493535,323.6774942256827,323.59966898060225,323.5304776934955,323.47035059688835,323.4196617492545,323.3787266280375,323.3478000960622,323.327074756285,323.31667970704444
